sensorName,lat,long,transmitDateTime,CO,NO2,NH3,TDS,turbidity
prototype,47.653132,-122.306114,2025-03-12 13:29:10,4.527467,0.733025,0.145205,81.857857,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:15,4.527467,0.737207,0.145014,82.014671,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:20,4.536891,0.724773,0.145254,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:25,4.538584,0.738062,0.145302,81.230690,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:29,4.557432,0.741752,0.145205,81.857948,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:34,4.525909,0.720574,0.145109,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:39,4.557432,0.735721,0.144774,81.700958,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:44,4.546316,0.741752,0.145157,81.857948,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:49,4.538584,0.725960,0.145254,81.701134,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:53,4.557432,0.733500,0.144917,81.857857,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:29:58,4.527467,0.716953,0.145109,81.230690,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:30:03,4.548008,0.717323,0.144965,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:30:08,4.546316,0.733500,0.145013,82.014671,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:30:17,4.557432,0.746426,0.145205,81.701134,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:30:22,4.546316,0.712779,0.144822,82.795807,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:30:32,4.536891,0.724773,0.144822,81.857948,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:30:37,4.536891,0.742244,0.145110,81.544319,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:30:42,4.536891,0.716741,0.144678,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:30:51,4.536891,0.724773,0.144726,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:30:56,4.536891,0.720811,0.144918,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:01,4.548008,0.708023,0.144630,81.857948,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:06,4.546316,0.720703,0.145207,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:10,4.536891,0.729537,0.145109,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:15,4.546316,0.724993,0.144726,81.701134,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:20,4.536891,0.737570,0.145109,81.701134,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:25,4.557432,0.741752,0.145109,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:30,4.546316,0.724993,0.144726,82.171402,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:34,4.548008,0.722102,0.144821,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:39,4.557432,0.708235,0.144870,81.543968,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:44,4.546316,0.720703,0.144535,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:50,4.557432,0.759688,0.145109,81.857765,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:55,4.555848,0.714692,0.144678,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:31:59,4.546316,0.721285,0.144821,82.014671,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:04,4.548008,0.742244,0.145304,81.857948,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:09,4.536891,0.733025,0.144870,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:14,4.548008,0.717323,0.144678,81.857948,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:19,4.546316,0.724773,0.144631,81.701218,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:23,4.548008,0.733992,0.144917,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:28,4.557432,0.729537,0.144774,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:33,4.548008,0.725960,0.144870,82.014671,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:38,4.546316,0.716741,0.144391,81.701134,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:43,4.557432,0.738174,0.144582,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:32:57,4.536891,0.740819,0.144487,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:33:02,4.548008,0.730030,0.144678,82.171402,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:33:07,4.546316,0.724993,0.144487,81.544319,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:33:11,4.548008,0.699983,0.144726,82.014671,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:33:16,4.546316,0.741752,0.144726,82.014671,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:33:26,4.538584,0.724993,0.144487,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:33:35,4.548008,0.729537,0.144678,81.544228,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:33:40,4.548008,0.738174,0.144487,81.073875,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:33:45,4.548008,0.725247,0.144582,81.073875,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:33:55,4.566964,0.714382,0.144678,81.073875,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:34:04,4.546316,0.728955,0.144248,81.230690,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:34:14,4.557432,0.733500,0.144535,80.602905,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:34:19,4.546316,0.737207,0.144535,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:34:24,4.548008,0.725960,0.144487,81.387413,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:34:28,4.548008,0.721285,0.144439,80.759804,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:34:38,4.557432,0.750725,0.144582,81.230690,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:34:43,4.546316,0.741752,0.144678,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:34:48,4.548008,0.729537,0.144630,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:34:57,4.536891,0.724993,0.144582,81.073875,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:35:02,4.557432,0.746050,0.144871,81.544319,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:35:07,4.546316,0.733025,0.144872,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:35:12,4.557432,0.734732,0.144106,81.073875,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:35:16,4.548008,0.702821,0.144583,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:35:21,4.536891,0.741868,0.144630,81.230774,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:35:26,4.557432,0.751237,0.144487,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:35:36,4.536891,0.733025,0.144535,81.230690,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:35:40,4.546316,0.729317,0.144439,81.073692,4.998779
dummy,47.65637,-122.30964,2025-03-12 13:35:41,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 13:35:45,4.546316,0.725960,0.144487,81.073875,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:35:50,4.557432,0.746426,0.144487,81.544403,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:00,4.548008,0.703675,0.144487,81.073875,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:04,4.557432,0.738174,0.144487,81.073875,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:09,4.538584,0.741752,0.144774,81.230690,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:14,4.548008,0.743973,0.144296,81.073875,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:24,4.557432,0.739022,0.144439,80.916878,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:28,4.546316,0.746426,0.144534,81.073784,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:33,4.546316,0.728955,0.144392,80.916969,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:38,4.548008,0.738174,0.144296,81.230690,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:43,4.548008,0.743973,0.144105,80.602989,4.998779
dummy,47.65637,-122.30964,2025-03-12 13:36:47,2.00,4.00,3.00,0.0,0.0
